games,updates,decisions,return_mean,policy_loss,value_loss,entropy,approx_kl,clip_frac,grad_norm,explained_variance,replay_loss,ref_kl,entropy_coef,replay_coef,kl_coef,rollout_s,update_s,games_per_s
6210,46,9551,-0.2710835007327035,-0.014458569048101189,0.04945146253612187,0.5066115245867877,0.005269352753443059,0.049582218430871954,0.6828961121911942,0.658204014871943,0.0,0.0,0.00838,0.0,0.0,16.2,20.6,3.66
6345,47,9077,-0.2598703207474061,-0.015400011085780973,0.05108791896230799,0.5127258930867511,0.005106750880724832,0.04672569386263777,0.6815776205375512,0.7049015840525735,0.0,0.0,0.008344,0.0,0.0,15.4,21.2,3.68
6480,48,9856,-0.2625763367309777,-0.016093755060101616,0.04789592006129391,0.5266435220405156,0.004936706030343479,0.048486328125,0.7050299449996059,0.7068915030660756,0.0,0.0,0.008308,0.0,0.0,16.1,21.2,3.62
6615,49,9729,-0.24940922556965817,-0.013473192101379611,0.051087337072426686,0.4926247255221291,0.005215224492797195,0.0513916015625,0.7663458573159779,0.6822065194373741,0.0,0.0,0.008272,0.0,0.0,16.2,18.8,3.86
6750,50,8981,-0.28070077253432674,-0.015046841370879293,0.04365005955708737,0.5012433060921843,0.004658058784720164,0.043522644655034096,0.6492154189812643,0.7506949751851089,0.0,0.0,0.008236,0.0,0.0,15.7,16.5,4.19
6885,51,10421,-0.1295902414188511,-0.01723947459281517,0.04589709995893722,0.49466364144837627,0.006070133132227103,0.0531863017133649,0.6964577058519162,0.7718307510314004,0.0,0.0,0.0082,0.0,0.0,16.5,19.0,3.8
7020,52,9749,-0.21179371984319206,-0.012858870289310676,0.04632313406764445,0.5025668457871182,0.005423202290869134,0.05000348772321428,0.8207302195313068,0.7413900821402774,0.0,0.0,0.008164,0.0,0.0,15.5,20.2,3.78
7155,53,10223,-0.1540749930931655,-0.015525383824080297,0.048915758453920835,0.49845840760967713,0.00536063066808123,0.049424567945075756,0.6840634296836108,0.7555950075651523,0.0,0.0,0.008128,0.0,0.0,15.8,22.4,3.53
7290,54,9967,-0.1351037680722049,-0.015408446330130115,0.05063893083094344,0.5038615484965734,0.005392067952315923,0.048586640298117156,0.6934254327113456,0.7144261542676713,0.0,0.0,0.008092,0.0,0.0,16.1,21.8,3.56
7425,55,9597,-0.23320067071199418,-0.015330045889574954,0.05068708520386905,0.5223920669251206,0.006075198044174105,0.053770564606644575,0.6907065473342269,0.7083312129943976,0.0,0.0,0.008056,0.0,0.0,14.8,20.1,3.86
7560,56,10570,-0.15651387916106901,-0.015529114377487722,0.05401781313620799,0.5144235974256476,0.005517053127838962,0.05173174264971139,0.7173300800799657,0.6654851118953433,0.0,0.0,0.00802,0.0,0.0,16.5,21.9,3.52
7695,57,10091,-0.16583895917331942,-0.014743242521595128,0.04620066505899708,0.5064224658614631,0.005207009422917566,0.04971617811639119,0.6901906417573407,0.7247905744729812,0.0,0.0,0.007984,0.0,0.0,16.5,22.5,3.46
7830,58,10091,-0.11505961892176235,-0.013315119539917292,0.0491837808645342,0.49805917226531193,0.004919566536952234,0.047921374612603304,0.691727203479158,0.7171029672058995,0.0,0.0,0.007948,0.0,0.0,16.1,22.9,3.46
7965,59,9628,-0.21508697530741827,-0.014795522156808799,0.04538126456577646,0.5052753461305584,0.004554070473654983,0.04436647690981094,0.7137432950651773,0.755142390459139,0.0,0.0,0.007912,0.0,0.0,16.5,20.7,3.63
