arm,seed,games,updates,decisions,return_mean,policy_loss,value_loss,entropy,approx_kl,clip_frac,grad_norm,explained_variance,replay_loss,ref_kl,entropy_coef,replay_coef,kl_coef,rollout_s,update_s,games_per_s
R0,202,7938,45,8456,-0.4675230420883087,-0.02437631848045324,0.0349745321073232,1.1661841329641707,0.01816374732051362,0.1839096966911765,0.811818146454601,0.8617809440479035,0.0,0.0,0.003779200000000001,0.0,0.0,13.0,13.8,6.06
R0,202,8100,46,8669,-0.3707437253274411,-0.026583230076413947,0.046775787844319495,1.1960700183266773,0.019262527170106597,0.2017900996385189,0.7821443092648174,0.8146872515366708,0.0,0.0,0.0036496000000000002,0.0,0.0,12.7,20.7,4.85
R0,202,8262,47,8249,-0.39852461088358176,-0.015720580262527047,0.04158729665350115,1.1612095732419625,0.021805737760817297,0.20875661119711042,0.8813877120032891,0.8339496613178601,0.0,0.0,0.0035199999999999997,0.0,0.0,12.9,13.9,6.02
R0,202,8424,48,8386,-0.45784665496043125,-0.022106440140596584,0.03987042334784837,1.1700764673446447,0.019451341702731748,0.1979673997498484,0.8259100625222262,0.8336037394354019,0.0,0.0,0.0033904,0.0,0.0,12.9,15.6,5.68
R0,202,8586,49,8310,-0.5412781313385766,-0.025061618578989454,0.03387386410129466,1.1401345032946557,0.023909465623616722,0.21897004299601197,0.8045893347488833,0.834586924923065,0.0,0.0,0.0032607999999999995,0.0,0.0,13.3,12.1,6.39
R0,202,8739,50,8400,-0.36483569237782304,-0.023427955430638032,0.03843380884549316,1.1297143451502158,0.020526279229529855,0.20491020927601808,0.8096567578173035,0.8577592971559438,0.0,0.0,0.0031311999999999998,0.0,0.0,12.5,14.8,5.61
R0,202,8901,51,8551,-0.4047955639124692,-0.025375570838423258,0.03957880776694148,1.139186616153057,0.020953874758099934,0.20178920715222023,0.7991870099716778,0.8460106857659033,0.0,0.0,0.0030088,0.0,0.0,12.7,16.6,5.53
R0,202,9054,52,8480,-0.3776016814530856,-0.02772623811854468,0.03822209695288444,1.1506690334130325,0.0209485766334685,0.20514514399509803,0.865011067992459,0.8587991300525143,0.0,0.0,0.0028792,0.0,0.0,12.0,13.8,5.93
R0,202,9207,53,8227,-0.40218660812404367,-0.021490152177747794,0.04435831837366541,1.1156661250454691,0.024848769508752006,0.2116194524684874,0.9769533398452258,0.824805583699444,0.0,0.0,0.0027568000000000002,0.0,0.0,12.1,12.8,6.15
R0,202,9360,54,8227,-0.3064983778418909,-0.024346565056170236,0.045283518632628056,1.1217637455196456,0.021347178219201884,0.2070025275735294,0.933840532287399,0.8238980260681348,0.0,0.0,0.0026344000000000003,0.0,0.0,12.0,15.3,5.61
R0,202,9513,55,8542,-0.42303662864648856,-0.02256752932362853,0.03526217691183345,1.1009674487005794,0.020949022261804916,0.2024043132878151,0.8548999213324318,0.8511377256081364,0.0,0.0,0.0025119999999999995,0.0,0.0,12.2,13.9,5.86
R0,202,9675,56,8684,-0.39929216583286153,-0.02219770030940505,0.042618143193973286,1.1021388931611598,0.023405071482619298,0.20925478613701576,0.8427156938451467,0.8304357030560008,0.0,0.0,0.0023895999999999995,0.0,0.0,12.9,15.9,5.63
